,ent,pob_0,pob_ent,Extreme Poverty,year,pob_1,Moderate Poverty,pob_2,Social Deprivations vulnerability,pob_3,Income Vulnerability,pob_4,Non poor or vulnerable
0,1,41980,1238279,0.03390189125390966,2012,425580,0.3436866812729603,303138,0.24480589592490867,125430,0.10129381181462337,342151,0.276311719733598
1,2,91512,3343793,0.027367722822555104,2012,918627,0.2747260371679706,1258419,0.37634476775326703,287973,0.08612165884670492,787262,0.23543981340950232
2,3,25795,701794,0.036755800135082374,2012,185507,0.264332553427359,210254,0.2995950378601128,55548,0.07915143190166915,224690,0.32016517667577665
3,4,90740,868475,0.10448199430035407,2012,297157,0.3421595325138893,248400,0.28601859581450245,48387,0.05571490255908345,183791,0.21162497481217077
4,5,92693,2862143,0.032385873102776484,2012,706588,0.24687375857879917,699334,0.2443392940185029,364784,0.1274513537583552,998744,0.34894972054156626
5,6,27429,689208,0.03979785492913605,2012,209768,0.3043609476384488,218773,0.317426669452473,43181,0.06265307425334588,190057,0.27576145372659633
6,7,1629197,5064198,0.3217087878475526,2012,2153118,0.42516465588430785,869747,0.17174427224212008,87631,0.017304023262913495,324505,0.06407826076310602
7,8,136290,3610061,0.03775282467526172,2012,1136419,0.3147921877220357,989103,0.2739851210270408,386907,0.10717464330935128,961342,0.26629522326631044
8,9,219025,8874778,0.024679490574299436,2012,2346296,0.2643779934551602,2872107,0.3236257853435883,585105,0.06592897309656646,2852245,0.32138775753038556
9,10,128027,1715364,0.0746354709554357,2012,730627,0.42593117262575175,373542,0.2177625273702841,190895,0.11128541813865746,292273,0.17038541090987103
10,11,391851,5680323,0.06898392925895235,2012,2133998,0.37568250960376726,1851317,0.32591755785718524,276640,0.04870145588551918,1026517,0.180714547394576
11,12,1111510,3505076,0.31711437926025,2012,1331393,0.37984711315817404,760432,0.2169516438445272,78865,0.022500225387409575,222876,0.06358663834963921
12,13,276714,2777755,0.09961785686642631,2012,1189194,0.42811335052947436,852402,0.3068672363113378,83529,0.030070686579629954,375916,0.13533086971313166
13,14,446180,7667912,0.058187939559035104,2012,2604813,0.33970303780220745,2173123,0.28340479129129287,619576,0.0808011359546119,1824220,0.2379030953928527
14,15,945667,16165954,0.05849744469147939,2012,6383068,0.39484635425784337,4766092,0.29482281095195495,1263070,0.07813148546630777,2808057,0.17370190463241453
15,16,650348,4502198,0.14445122138120092,2012,1797345,0.3992150056483522,1381010,0.3067412850345542,157652,0.03501667407786153,515843,0.11457581385803112
16,17,117174,1855788,0.06313975518755376,2012,726323,0.39138252860779355,594674,0.3204428523085611,85387,0.04601118231177268,332230,0.1790236815843189
17,18,138688,1162298,0.11932223921920196,2012,414860,0.35693083873498876,327889,0.28210407313787,64648,0.055620847665572855,216213,0.18602200124236642
18,19,117530,4873250,0.02411737546811676,2012,1015344,0.2083504847894116,1418074,0.29099143282203865,410400,0.08421484635510183,1911902,0.39232586056533114
19,20,916586,3930738,0.23318420103298668,2012,1518009,0.38618931101487813,1024471,0.26063070090145923,65083,0.01655745053473419,406589,0.1034383365159418
20,21,1059074,6015348,0.17606196682220215,2012,2819042,0.4686415482529024,1320899,0.21958812690471108,253879,0.04220520575035725,562454,0.09350315226982711
21,22,98713,1916292,0.05151250435737351,2012,608726,0.3176582691990573,625434,0.3263771909500222,123005,0.06418906930676535,460414,0.24026296618678156
22,23,122160,1452036,0.08413014553358181,2012,441133,0.30380307375299237,441699,0.304192871251126,89872,0.061893782247823055,357172,0.24598012721447676
23,24,342946,2679773,0.12797576511144787,2012,1011214,0.3773506188770467,660702,0.2465514802932935,175817,0.06560891538201183,489094,0.18251322033620013
24,25,130221,2911104,0.04473251385041551,2012,925356,0.31787115815855427,976405,0.3354071170250187,185642,0.06377030844655499,693480,0.23821890251945654
25,26,139839,2820397,0.04958131780738669,2012,681456,0.2416170489473645,1031072,0.3655769028260915,133012,0.04716073659133803,835018,0.2960639938278193
26,27,330799,2313144,0.1430083903120601,2012,818599,0.3538902031174886,785357,0.33951928630470046,69536,0.030061249969738156,308853,0.1335208702960127
27,28,160160,3429728,0.046697580682783006,2012,1155464,0.33689668685096896,918671,0.26785535179466125,303032,0.08835452840575113,892401,0.26019585226583564
28,29,112245,1229936,0.09126084609280483,2012,599635,0.487533497677928,294247,0.23923765138999104,74215,0.06034053804425596,149594,0.12162746679502023
29,30,1121952,7867441,0.1426069798299091,2012,3019807,0.3838359893642672,2403822,0.30554051819390826,313523,0.03985069605224875,1008337,0.1281658165596666
30,31,200609,2040412,0.0983178887401172,2012,796265,0.39024716576848206,551381,0.2702302280127739,127560,0.06251678582560777,364597,0.1786879316530191
31,32,115296,1541155,0.07481142389960777,2012,720221,0.467325479916037,314703,0.20419944781673485,98844,0.06413631334940353,292091,0.18952733501821686
32,1,26709,1273851,0.02096713037867066,2014,416157,0.32669205425124287,322420,0.25310652501744707,113606,0.0891831148226912,394959,0.31005117552994815
33,2,105546,3444107,0.03064538935637017,2014,879399,0.2553344016315405,1319549,0.38313240558437933,226700,0.06582257752154623,912913,0.26506522590616377
34,3,29497,747567,0.03945733292133013,2014,196737,0.26316972258004967,256890,0.3436347511326744,41860,0.05599498105186559,222583,0.2977432123140802
35,4,99226,896946,0.11062650371371298,2014,291733,0.32525146441368824,287486,0.3205165082401839,35855,0.03997453581375021,182646,0.20363098781866468
36,5,109708,2935848,0.037368419618454364,2014,776078,0.26434542932740385,710674,0.2420677092274532,325319,0.11080921083107845,1014069,0.3454092309956101
37,6,24356,713154,0.03415251123880676,2014,220582,0.309304862624342,236626,0.33180210725874076,45347,0.06358654652431313,186243,0.26115397235379734
38,7,1654355,5197565,0.3182942397064779,2014,2306633,0.4437910829397997,793330,0.1526349357824289,129778,0.024968999906687075,313469,0.060310741664606406
39,8,200315,3679912,0.05443472561300379,2014,1065231,0.28947186780553447,949486,0.25801867001167417,440499,0.11970367769664057,1024381,0.27837105887314695
40,9,150531,8820096,0.01706682104140363,2014,2351937,0.26665662142452873,2465456,0.279527116258145,706158,0.08006239387870608,3146014,0.3566870473972165
41,10,92999,1751418,0.05309926014235322,2014,668245,0.3815451251500213,425434,0.24290831771741525,183629,0.10484590200626007,381111,0.21760139498395015
42,11,317597,5763682,0.055103144135988075,2014,2365685,0.41044682895413037,1594838,0.2767047175746337,494504,0.08579654463934686,991058,0.17194876469590098
43,12,868127,3550275,0.24452387491109845,2014,1447294,0.4076568716507876,928599,0.2615569216469147,93981,0.026471470519889306,212274,0.05979086127130997
44,13,350456,2850296,0.12295424755885002,2014,1197356,0.42008128278606854,735629,0.2580886336015628,145501,0.051047680661938266,421354,0.1478281553915804
45,14,253225,7860753,0.03221383498501988,2014,2526998,0.3214702204737892,2328450,0.2962120804457283,619577,0.078819039346485,2132503,0.27128482474897764
46,15,1206854,16673086,0.07238336082474474,2014,7062998,0.4236167197842079,3944780,0.23659567281066024,1554054,0.09320734026082514,2904400,0.17419690631956194
47,16,641851,4571735,0.14039549536445134,2014,2066780,0.45207782165851695,1142440,0.24989199942691342,186424,0.040777516632088256,534240,0.11685716691803003
48,17,149266,1901076,0.07851658744837134,2014,844464,0.4442031775689136,489399,0.25743263288790136,116763,0.06141942773460924,301184,0.15842817436020443
49,18,102138,1206884,0.08462950871831924,2014,386690,0.320403617911912,355385,0.29446491957802073,78592,0.0651197629598205,284079,0.23538219083192752
50,19,66713,5021727,0.013284871917569394,2014,956021,0.19037693606203604,1406725,0.28012773294924237,458232,0.09124988275945706,2134036,0.42496057631169515
51,20,1130297,3989130,0.28334423796667446,2014,1532451,0.3841566958208933,927916,0.23261112072055812,83577,0.020951184844815788,314889,0.07893676064705839
52,21,991322,6134172,0.16160648902573974,2014,2967490,0.4837637418709485,1217486,0.1984760127365193,314076,0.05120104229226047,643798,0.10495271407453198
53,22,76120,1977098,0.038500873502476864,2014,599559,0.30325203909973103,654165,0.3308713073403544,154749,0.07827077868674188,492505,0.24910500137069583
54,23,107564,1541196,0.06979255072034965,2014,445451,0.2890294290927306,526328,0.341506206867913,96339,0.06250924606604222,365514,0.23716256725296458
55,24,258472,2725175,0.09484601906299596,2014,1079628,0.3961683194657224,662311,0.243034300549506,208183,0.07639252525067197,516581,0.18955883567110368
56,25,155849,2964398,0.05257357480338335,2014,1011217,0.3411205243020674,900251,0.30368762898908985,204577,0.06901131359554284,692504,0.23360695830991654
57,26,95591,2902359,0.032935622367873854,2014,756490,0.26064659816376956,930586,0.3206309074790541,210908,0.07266778506725047,908784,0.31311908692205204
58,27,260275,2359842,0.11029340099888044,2014,909514,0.3854130912154288,883849,0.37453736309464786,55422,0.02348547063744098,250782,0.1062706740536019
59,28,151605,3508919,0.04320561403668765,2014,1179102,0.336029985303166,855036,0.2436750463604318,393778,0.11222202621377125,929398,0.26486732808594327
60,29,82637,1264496,0.06535172906834028,2014,662500,0.5239241563437133,285287,0.22561320874087384,96885,0.07661945945261986,137187,0.10849144639445281
61,30,1370456,7989354,0.17153527056129944,2014,3263783,0.4085165083434781,1978731,0.24767096313419082,400903,0.050179651571328546,975481,0.1220976063897031
62,31,223214,2088925,0.10685591871417116,2014,734694,0.35170913268786574,578272,0.2768275548428019,145278,0.06954677645200283,407467,0.19506061730315832
63,32,89432,1566101,0.057104873823591196,2014,730356,0.46635306407441157,381746,0.24375567093054662,114723,0.07325389614079807,249844,0.15953249503065256
64,1,30180,1309930,0.023039399051857732,2016,339472,0.2591527791561381,366359,0.2796783034207935,139147,0.10622476010168483,434772,0.33190475826952587
65,2,39681,3549320,0.011179887978542368,2016,749428,0.2111469239178209,1349740,0.38028129331815674,238929,0.06731683815491418,1171542,0.33007505663056586
66,3,12763,793825,0.016077850911724877,2016,162879,0.20518250244071426,300348,0.37835543098289925,51204,0.06450288161748496,266631,0.3358813340471766
67,4,61608,925421,0.06657294355758082,2016,343427,0.37110353017707615,289956,0.31332334148457835,44383,0.04795979343455573,186047,0.2010403913462089
